1,1,3,2,2,2,88
2,1,3,2,2,2,88
3,1,3,2,2,2,88
4,1,3,2,2,2,84
1,2,3,2,2,2,92
2,2,3,2,1,2,92
3,2,3,2,1,2,92
4,2,3,2,2,2,88
1,3,3,2,2,2,96
2,3,3,2,1,2,96
3,3,3,2,1,2,96
4,3,3,2,2,2,92
1,4,3,2,2,2,100
2,4,3,2,1,2,100
3,4,3,2,1,2,98
4,4,3,2,2,2,96
1,5,3,1,1,1,104
2,5,3,1,1,1,104
3,5,3,1,1,1,100
4,5,3,1,1,1,100
1,6,3,1,1,1,108
2,6,3,1,1,1,108
3,6,3,1,1,1,104
4,6,3,1,1,1,104
1,7,3,1,1,1,112
2,7,2,1,1,1,112
3,7,2,1,1,1,108
4,7,2,1,1,1,108
1,8,2,1,1,1,116
2,8,2,1,1,1,116
3,8,2,1,1,1,112
4,8,2,1,1,1,112
1,9,2,1,1,1,120
2,9,2,1,1,1,120
3,9,2,1,1,1,116
4,9,2,1,1,1,116
1,10,2,1,1,1,124
2,10,2,1,1,1,124
3,10,2,1,1,1,120
4,10,2,1,1,1,120
