1,1,3,3,4,3,0,0
2,1,3,3,4,3,0,0
3,1,3,3,4,2,0,0
4,1,3,3,3,1,0,0
1,2,3,4,3,3,0,0
2,2,3,4,1,3,0,0
3,2,3,3,1,2,0,0
4,2,3,3,3,2,0,0
1,3,4,4,4,3,0,3
2,3,4,4,1,3,0,3
3,3,3,3,1,2,0,3
4,3,3,3,3,2,0,3
1,4,4,4,4,3,0,6
2,4,4,4,1,3,0,6
3,4,3,3,1,2,0,6
4,4,3,3,3,2,0,6
1,5,3,4,4,3,0,9
2,5,3,4,1,3,0,9
3,5,2,3,1,2,0,9
4,5,2,3,3,2,0,9
1,6,3,4,3,3,0,12
2,6,3,4,1,3,0,12
3,6,2,3,1,2,0,12
4,6,2,3,3,2,0,12
1,7,3,4,3,3,5,17
2,7,3,4,1,3,5,17
3,7,2,3,1,2,5,17
4,7,2,3,3,2,5,17
1,8,3,4,3,3,12,24
2,8,3,4,1,3,12,24
3,8,2,3,1,2,12,24
4,8,2,3,3,2,12,24
1,9,3,4,3,3,15,27
2,9,3,4,1,3,15,27
3,9,2,3,1,2,15,27
4,9,2,3,2,2,15,27
1,10,3,4,3,3,18,30
2,10,3,3,1,3,18,30
3,10,2,2,1,2,18,30
4,10,2,2,2,2,18,30
