1,1,4,3,3,3,30,36
2,1,4,3,3,3,30,36
3,1,4,3,3,3,27,33
4,1,4,3,3,3,27,33
1,2,4,3,3,3,33,39
2,2,4,3,1,3,33,39
3,2,4,3,1,3,30,36
4,2,4,3,3,3,30,36
1,3,4,3,3,3,36,42
2,3,4,3,1,3,36,42
3,3,4,3,1,3,33,39
4,3,4,3,3,3,33,39
1,4,3,3,3,3,39,45
2,4,3,3,1,3,39,45
3,4,3,3,1,3,36,42
4,4,3,3,3,3,36,42
1,5,3,3,3,3,42,48
2,5,3,3,1,3,42,48
3,5,3,3,1,3,39,45
4,5,3,3,3,3,39,45
1,6,3,3,3,3,45,51
2,6,3,3,1,3,45,51
3,6,3,3,1,3,42,48
4,6,3,3,3,3,42,48
1,7,3,3,3,3,48,54
2,7,3,3,1,3,48,54
3,7,3,3,1,3,46,52
4,7,3,3,3,3,46,52
1,8,3,3,3,3,51,57
2,8,3,3,1,3,51,57
3,8,3,3,1,3,49,55
4,8,3,3,3,3,49,55
1,9,3,3,3,3,54,60
2,9,3,3,1,3,54,60
3,9,3,3,1,3,51,57
4,9,3,3,3,3,51,57
1,10,3,3,3,3,57,63
2,10,3,3,1,3,57,63
3,10,3,3,1,3,54,60
4,10,3,3,3,3,54,60
