1,1,4,3,3,3,52,64
2,1,4,3,3,3,52,64
3,1,4,3,3,3,48,60
4,1,4,3,3,3,48,60
1,2,4,3,3,3,56,68
2,2,4,3,1,3,56,68
3,2,4,3,1,3,52,64
4,2,4,3,3,3,52,64
1,3,4,3,3,3,60,72
2,3,4,3,1,3,60,72
3,3,4,3,1,3,56,68
4,3,4,3,3,3,56,68
1,4,4,3,3,3,64,76
2,4,4,3,1,3,64,76
3,4,4,3,1,3,60,72
4,4,4,3,3,3,60,72
1,5,3,3,3,3,68,80
2,5,3,3,1,3,68,80
3,5,3,3,1,3,64,76
4,5,3,3,3,3,64,76
1,6,3,2,2,3,72,84
2,6,3,3,1,3,72,84
3,6,3,3,1,3,68,80
4,6,3,3,2,3,68,80
1,7,3,2,2,2,76,88
2,7,3,2,1,2,76,88
3,7,3,3,1,3,72,84
4,7,3,3,2,3,72,84
1,8,3,2,2,2,80,92
2,8,3,2,1,2,80,92
3,8,3,2,1,2,76,88
4,8,3,2,2,2,76,88
1,9,3,2,2,2,84,96
2,9,3,2,1,2,84,96
3,9,3,2,1,2,80,92
4,9,3,2,2,2,80,92
1,10,3,2,2,2,88,100
2,10,2,2,1,2,88,100
3,10,2,2,1,2,84,96
4,10,2,2,2,2,84,96
