1,1,4,3,3,3,64
2,1,4,3,3,3,64
3,1,4,3,3,3,60
4,1,4,3,3,3,60
1,2,4,3,3,3,68
2,2,4,3,1,3,68
3,2,4,3,1,3,64
4,2,4,3,3,3,64
1,3,4,3,3,2,72
2,3,4,3,1,3,72
3,3,4,3,1,3,68
4,3,4,3,3,3,68
1,4,3,3,3,2,76
2,4,3,3,1,2,76
3,4,3,3,1,2,72
4,4,3,3,3,2,72
1,5,3,2,2,2,80
2,5,3,2,1,2,80
3,5,3,2,1,2,76
4,5,3,2,2,2,76
1,6,3,2,2,2,84
2,6,3,2,1,2,84
3,6,3,2,1,2,80
4,6,3,2,2,2,80
1,7,3,2,2,2,88
2,7,3,2,1,2,88
3,7,3,2,1,2,84
4,7,3,2,2,2,84
1,8,3,2,2,2,92
2,8,3,2,1,2,92
3,8,3,2,1,2,88
4,8,3,2,2,2,88
1,9,3,2,2,2,96
2,9,3,2,1,2,96
3,9,3,2,1,2,92
4,9,3,2,2,2,92
1,10,3,2,2,2,100
2,10,3,2,1,2,100
3,10,3,2,1,2,96
4,10,3,2,2,2,96
