1,1,4,4,4,3,12
2,1,4,4,4,3,12
3,1,4,4,4,3,12
4,1,3,3,3,2,12
1,2,4,4,3,3,21
2,2,4,4,1,3,21
3,2,4,4,1,3,21
4,2,3,3,3,2,21
1,3,4,4,4,3,24
2,3,4,4,1,3,24
3,3,4,3,1,3,24
4,3,3,3,3,2,24
1,4,4,4,3,3,27
2,4,4,4,1,3,27
3,4,4,3,1,3,27
4,4,3,3,3,2,27
1,5,4,4,3,3,30
2,5,4,4,1,3,30
3,5,4,3,1,3,30
4,5,3,3,3,2,30
1,6,3,3,3,3,33
2,6,3,3,1,3,33
3,6,3,3,1,3,33
4,6,3,3,3,2,33
1,7,3,3,3,3,36
2,7,3,3,1,3,36
3,7,3,3,1,3,36
4,7,3,3,3,2,36
1,8,3,3,3,3,40
2,8,3,3,1,3,40
3,8,3,3,1,3,40
4,8,3,3,3,2,40
1,9,3,3,3,3,44
2,9,3,3,1,3,44
3,9,3,3,1,2,44
4,9,3,2,2,2,44
1,10,3,3,3,3,48
2,10,3,3,1,3,48
3,10,3,3,1,2,48
4,10,3,2,2,2,48
