1,1,3,2,3,2,88
2,1,3,2,2,2,88
3,1,3,2,3,2,88
4,1,3,2,3,2,84
1,2,3,2,3,2,92
2,2,3,2,1,2,92
3,2,3,2,1,2,92
4,2,3,2,2,2,88
1,3,3,2,3,2,96
2,3,3,2,1,2,96
3,3,3,2,1,2,96
4,3,3,2,2,2,92
1,4,3,2,3,2,100
2,4,3,2,1,2,100
3,4,3,2,1,2,98
4,4,3,2,2,2,96
1,5,3,2,2,2,104
2,5,3,2,1,2,104
3,5,3,2,1,2,100
4,5,3,2,2,2,100
1,6,3,2,2,2,108
2,6,3,2,1,2,108
3,6,3,2,1,2,104
4,6,3,2,2,2,104
1,7,3,2,2,2,112
2,7,2,2,1,2,112
3,7,2,2,1,2,108
4,7,2,2,2,2,108
1,8,2,2,2,2,116
2,8,2,2,1,2,116
3,8,2,2,1,2,112
4,8,2,2,2,2,112
1,9,2,2,2,2,120
2,9,2,2,1,2,120
3,9,2,2,1,2,116
4,9,2,2,2,2,116
1,10,2,1,2,2,124
2,10,2,1,1,2,124
3,10,2,1,1,2,120
4,10,2,1,2,2,120
